course_id,faculty_id
CS101,FAC_SHARMA
CS102,FAC_SHARMA
CS103,FAC_SHARMA
CS104,FAC_SHARMA
CS105,FAC_SHARMA
CS106,FAC_PATEL
CS107,FAC_PATEL
CS108,FAC_PATEL
CS109,FAC_PATEL
CS110,FAC_PATEL
CS111,FAC_GUPTA
CS112,FAC_GUPTA
CS113,FAC_GUPTA
CS114,FAC_GUPTA
CS115,FAC_GUPTA
CS116,FAC_VERMA
CS117,FAC_VERMA
CS118,FAC_VERMA
CS119,FAC_VERMA
CS120,FAC_VERMA
CS121,FAC_REDDY
CS122,FAC_REDDY
CS123,FAC_REDDY
CS124,FAC_REDDY
CS125,FAC_REDDY
EE101,FAC_IYER
EE102,FAC_IYER
EE103,FAC_IYER
EE104,FAC_IYER
EE105,FAC_IYER
EE106,FAC_SINGH
EE107,FAC_SINGH
EE108,FAC_SINGH
EE109,FAC_SINGH
EE110,FAC_SINGH
EE111,FAC_DESAI
EE112,FAC_DESAI
EE113,FAC_DESAI
EE114,FAC_DESAI
EE115,FAC_DESAI
EE116,FAC_JOSHI
EE117,FAC_JOSHI
EE118,FAC_JOSHI
EE119,FAC_JOSHI
EE120,FAC_JOSHI
MA101,FAC_RAO
MA102,FAC_RAO
MA103,FAC_RAO
MA104,FAC_RAO
MA105,FAC_RAO
MA106,FAC_KUMAR
MA107,FAC_KUMAR
MA108,FAC_KUMAR
MA109,FAC_KUMAR
MA110,FAC_KUMAR
PH101,FAC_DAS
PH102,FAC_DAS
PH103,FAC_DAS
PH104,FAC_DAS
PH105,FAC_DAS
PH106,FAC_BOSE
PH107,FAC_BOSE
PH108,FAC_BOSE
PH109,FAC_BOSE
PH110,FAC_BOSE
ME101,FAC_MENON
ME102,FAC_MENON
ME103,FAC_MENON
ME104,FAC_MENON
ME105,FAC_MENON
ME106,FAC_NAIR
ME107,FAC_NAIR
ME108,FAC_NAIR
ME109,FAC_NAIR
ME110,FAC_NAIR
HU101,FAC_CHATTERJEE
HU102,FAC_CHATTERJEE
HU103,FAC_CHATTERJEE
HU104,FAC_CHATTERJEE
HU105,FAC_CHATTERJEE
HU106,FAC_BANERJEE
HU107,FAC_BANERJEE
HU108,FAC_BANERJEE
HU109,FAC_BANERJEE
HU110,FAC_BANERJEE
EN101,FAC_MUKHERJEE
EN102,FAC_MUKHERJEE
EN103,FAC_MUKHERJEE
EN104,FAC_MUKHERJEE
EN105,FAC_MUKHERJEE
EN106,FAC_SEN
EN107,FAC_SEN
EN108,FAC_SEN
EN109,FAC_SEN
EN110,FAC_SEN
CH101,FAC_CHAWLA
CH102,FAC_CHAWLA
CH103,FAC_CHAWLA
CH104,FAC_CHAWLA
CH105,FAC_CHAWLA
CH106,FAC_KAPOOR
CH107,FAC_KAPOOR
CH108,FAC_KAPOOR
CH109,FAC_KAPOOR
CH110,FAC_KAPOOR
